Package,Version,License,Status,Reason,Repository,Publisher
rangetouch,2.0.1,MIT,OK,permissive,https://github.com/sampotts/rangetouch,Sam Potts
rolldown,1.2.8,MIT,OK,permissive,https://github.com/rolldown/rolldown,
source-map-js,1.2.1,BSD-3-Clause,OK,permissive,https://github.com/7rulnik/source-map-js,Valentin 7rulnik Semirulnik
svelte-multiselect,11.8.0,MIT,OK,permissive,https://github.com/janosh/svelte-multiselect,Janosh Riebesell
svelte,5.57.0,MIT,OK,permissive,https://github.com/sveltejs/svelte,
tinyglobby,0.2.17,MIT,OK,permissive,https://github.com/SuperchupuDev/tinyglobby,Superchupu
typescript,5.9.3,Apache-2.0,OK,permissive,https://github.com/microsoft/TypeScript,Microsoft Corp.
url-polyfill,1.1.14,MIT,OK,permissive,https://github.com/lifaon74/url-polyfill,valentin
vite,8.3.0,MIT,OK,permissive,https://github.com/vitejs/vite,Evan You
zimmerframe,1.1.4,MIT,OK,permissive,https://github.com/sveltejs/zimmerframe,
