Package,Version,License,Status,Reason,Repository,Publisher
@adobe/css-tools,4.5.0,MIT,OK,permissive,https://github.com/adobe/css-tools,TJ Holowaychuk
@asamuzakjp/css-color,7.0.1,MIT,OK,permissive,https://github.com/asamuzaK/cssColor,asamuzaK
@asamuzakjp/dom-selector,9.2.1,MIT,OK,permissive,https://github.com/asamuzaK/domSelector,asamuzaK
@babel/code-frame,7.29.7,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/helper-string-parser,7.29.7,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/helper-validator-identifier,7.29.7,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/parser,7.29.9,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/runtime,7.29.7,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/types,7.29.8,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@bcoe/v8-coverage,1.0.2,MIT,OK,permissive,https://github.com/bcoe/v8-coverage,Charles Samborski
@bramus/specificity,2.4.2,MIT,OK,permissive,https://github.com/bramus/specificity,Bramus Van Damme
@cacheable/memory,2.2.0,MIT,OK,permissive,https://github.com/jaredwray/cacheable,Jared Wray
@cacheable/utils,2.5.0,MIT,OK,permissive,https://github.com/jaredwray/cacheable,Jared Wray
@csstools/color-helpers,6.1.1,MIT-0,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-calc,3.4.0,MIT,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-color-parser,4.2.3,MIT,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-parser-algorithms,4.0.0,MIT,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-syntax-patches-for-csstree,1.1.14,MIT-0,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-tokenizer,4.0.1,MIT,OK,permissive,https://github.com/csstools/postcss-plugins,
@dependents/detective-less,5.0.3,MIT,OK,permissive,https://github.com/dependents/node-detective-less,Joel Kemp
@discoveryjs/json-ext,1.1.0,MIT,OK,permissive,https://github.com/discoveryjs/json-ext,Roman Dvornov
@eslint-community/eslint-utils,4.10.1,MIT,OK,permissive,https://github.com/eslint-community/eslint-utils,Toru Nagashima
@eslint-community/regexpp,4.12.2,MIT,OK,permissive,https://github.com/eslint-community/regexpp,Toru Nagashima
@eslint/config-array,0.23.5,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,Nicholas C. Zakas
@eslint/config-helpers,0.7.0,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,
@eslint/core,1.2.1,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,Nicholas C. Zakas
@eslint/js,10.0.1,MIT,OK,permissive,https://github.com/eslint/eslint,
@eslint/object-schema,3.0.5,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,Nicholas C. Zakas
@eslint/plugin-kit,0.7.3,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,Nicholas C. Zakas
@exodus/bytes,1.16.0,MIT,OK,permissive,https://github.com/ExodusOSS/bytes,"Exodus Movement, Inc."
@ffmpeg/ffmpeg,0.12.15,MIT,OK,permissive,https://github.com/ffmpegwasm/ffmpeg.wasm,Jerome Wu
@ffmpeg/types,0.12.4,MIT,OK,permissive,https://github.com/ffmpegwasm/ffmpeg.wasm,Jerome Wu
@ffmpeg/util,0.12.2,MIT,OK,permissive,https://github.com/ffmpegwasm/ffmpeg.wasm,Jerome Wu
@humanfs/core,0.19.2,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/humanfs,Nicholas C. Zakas
@humanfs/node,0.16.8,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/humanfs,Nicholas C. Zakas
@humanfs/types,0.15.0,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/humanfs,Nicholas C. Zakas
@humanwhocodes/module-importer,1.0.1,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/module-importer,Nicholas C. Zaks
@humanwhocodes/retry,0.4.3,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/retry,Nicholas C. Zaks
@jridgewell/gen-mapping,0.3.13,MIT,OK,permissive,https://github.com/jridgewell/sourcemaps,Justin Ridgewell
@jridgewell/remapping,2.3.5,MIT,OK,permissive,https://github.com/jridgewell/sourcemaps,Justin Ridgewell
@jridgewell/resolve-uri,3.1.2,MIT,OK,permissive,https://github.com/jridgewell/resolve-uri,Justin Ridgewell
@jridgewell/sourcemap-codec,1.6.0,MIT,OK,permissive,https://github.com/jridgewell/sourcemaps,Justin Ridgewell
@jridgewell/trace-mapping,0.3.31,MIT,OK,permissive,https://github.com/jridgewell/sourcemaps,Justin Ridgewell
@keyv/bigmap,1.3.1,MIT,OK,permissive,https://github.com/jaredwray/keyv,Jared Wray
@keyv/serialize,1.1.1,MIT,OK,permissive,https://github.com/jaredwray/keyv,Jared Wray
@oxc-parser/binding-linux-x64-gnu,0.150.0,MIT,OK,permissive,https://github.com/oxc-project/oxc,Boshen and oxc contributors
@oxc-project/types,0.150.0,MIT,OK,permissive,https://github.com/oxc-project/oxc,Boshen and oxc contributors
@oxc-project/types,0.151.0,MIT,OK,permissive,https://github.com/oxc-project/oxc,Boshen and oxc contributors
@oxc-resolver/binding-linux-x64-gnu,11.24.2,MIT,OK,permissive,https://github.com/oxc-project/oxc-resolver,
@polka/url,1.0.0-next.29,MIT,OK,permissive,https://github.com/lukeed/polka,Luke Edwards
@rolldown/binding-linux-x64-gnu,1.2.11,MIT,OK,permissive,https://github.com/rolldown/rolldown,
@rolldown/pluginutils,1.0.1,MIT,OK,permissive,https://github.com/rolldown/plugins,
@standard-schema/spec,1.1.0,MIT,OK,permissive,https://github.com/standard-schema/standard-schema,Colin McDonnell
@svelte-plugins/datepicker,1.0.11,MIT,OK,permissive,https://github.com/svelte-plugins/datepicker,Kieran Boyle
@sveltejs/acorn-typescript,1.0.13,MIT,OK,permissive,https://github.com/sveltejs/acorn-typescript,tyrealhu and the Svelte team
@sveltejs/adapter-static,3.0.10,MIT,OK,permissive,https://github.com/sveltejs/kit,
@sveltejs/kit,2.70.3,MIT,OK,permissive,https://github.com/sveltejs/kit,
@sveltejs/load-config,0.2.3,MIT,OK,permissive,https://github.com/sveltejs/language-tools,
@sveltejs/vite-plugin-svelte,7.3.1,MIT,OK,permissive,https://github.com/sveltejs/vite-plugin-svelte,
@testing-library/dom,10.4.2,MIT,OK,permissive,https://github.com/testing-library/dom-testing-library,Kent C. Dodds
@testing-library/jest-dom,7.0.1,MIT,OK,permissive,https://github.com/testing-library/jest-dom,Ernesto Garcia
@testing-library/svelte-core,1.1.3,MIT,OK,permissive,https://github.com/testing-library/svelte-testing-library,
@testing-library/svelte,5.4.2,MIT,OK,permissive,https://github.com/testing-library/svelte-testing-library,
@ts-graphviz/adapter,2.0.6,MIT,OK,permissive,https://github.com/ts-graphviz/ts-graphviz,Yuki Yamazaki
@ts-graphviz/ast,2.0.7,MIT,OK,permissive,https://github.com/ts-graphviz/ts-graphviz,kamiazya
@ts-graphviz/common,2.1.5,MIT,OK,permissive,https://github.com/ts-graphviz/ts-graphviz,Yuki Yamazaki
@ts-graphviz/core,2.0.7,MIT,OK,permissive,https://github.com/ts-graphviz/ts-graphviz,Yuki Yamazaki
@types/aria-query,5.0.4,MIT,OK,permissive,https://github.com/DefinitelyTyped/DefinitelyTyped,
@types/chai,5.2.3,MIT,OK,permissive,https://github.com/DefinitelyTyped/DefinitelyTyped,
@types/cookie,0.6.0,MIT,OK,permissive,https://github.com/DefinitelyTyped/DefinitelyTyped,
@types/deep-eql,4.0.2,MIT,OK,permissive,https://github.com/DefinitelyTyped/DefinitelyTyped,
@types/esrecurse,4.3.1,MIT,OK,permissive,https://github.com/DefinitelyTyped/DefinitelyTyped,
@types/estree,1.0.9,MIT,OK,permissive,https://github.com/DefinitelyTyped/DefinitelyTyped,
@types/json-schema,7.0.15,MIT,OK,permissive,https://github.com/DefinitelyTyped/DefinitelyTyped,
@types/node,26.6.2,MIT,OK,permissive,https://github.com/DefinitelyTyped/DefinitelyTyped,
@types/trusted-types,2.0.7,MIT,OK,permissive,https://github.com/DefinitelyTyped/DefinitelyTyped,
@typescript-eslint/eslint-plugin,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@typescript-eslint/parser,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@typescript-eslint/project-service,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@typescript-eslint/scope-manager,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@typescript-eslint/tsconfig-utils,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@typescript-eslint/type-utils,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@typescript-eslint/types,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@typescript-eslint/typescript-estree,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@typescript-eslint/utils,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@typescript-eslint/visitor-keys,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
@vitest/coverage-v8,5.0.1,MIT,OK,permissive,https://github.com/vitest-dev/vitest,Anthony Fu
@vitest/istanbul-lib-coverage,1.0.1,MIT,OK,permissive,https://github.com/vitest-dev/istanbuljs,Vitest Team
@vitest/istanbul-lib-report,1.0.1,MIT,OK,permissive,https://github.com/vitest-dev/istanbuljs,Vitest Team
@vitest/mocker,5.0.1,MIT,OK,permissive,https://github.com/vitest-dev/vitest,
@vitest/spy,5.0.1,MIT,OK,permissive,https://github.com/vitest-dev/vitest,
@vue/compiler-core,3.5.43,MIT,OK,permissive,https://github.com/vuejs/core,Evan You
@vue/compiler-dom,3.5.43,MIT,OK,permissive,https://github.com/vuejs/core,Evan You
@vue/compiler-sfc,3.5.43,MIT,OK,permissive,https://github.com/vuejs/core,Evan You
@vue/compiler-ssr,3.5.43,MIT,OK,permissive,https://github.com/vuejs/core,Evan You
@vue/shared,3.5.43,MIT,OK,permissive,https://github.com/vuejs/core,Evan You
acorn-jsx,5.3.2,MIT,OK,permissive,https://github.com/acornjs/acorn-jsx,
acorn,8.18.0,MIT,OK,permissive,https://github.com/acornjs/acorn,
agent-base,6.0.2,MIT,OK,permissive,https://github.com/TooTallNate/node-agent-base,Nathan Rajlich
ajv,6.15.0,MIT,OK,permissive,https://github.com/ajv-validator/ajv,Evgeny Poberezkin
ansi-regex,5.0.1,MIT,OK,permissive,https://github.com/chalk/ansi-regex,Sindre Sorhus
ansi-regex,6.3.0,MIT,OK,permissive,https://github.com/chalk/ansi-regex,Sindre Sorhus
ansi-styles,4.3.0,MIT,OK,permissive,https://github.com/chalk/ansi-styles,Sindre Sorhus
ansi-styles,5.2.0,MIT,OK,permissive,https://github.com/chalk/ansi-styles,Sindre Sorhus
ansi-styles,6.2.3,MIT,OK,permissive,https://github.com/chalk/ansi-styles,Sindre Sorhus
any-promise,1.3.0,MIT,OK,permissive,https://github.com/kevinbeaty/any-promise,Kevin Beaty
app-module-path,2.2.0,BSD-2-Clause,OK,permissive,https://github.com/patrick-steele-idem/app-module-path-node,Patrick Steele-Idem
aria-query,5.3.0,Apache-2.0,OK,permissive,https://github.com/A11yance/aria-query,Jesse Beach
aria-query,5.3.1,Apache-2.0,OK,permissive,https://github.com/A11yance/aria-query,Jesse Beach
assertion-error,2.0.1,MIT,OK,permissive,https://github.com/chaijs/assertion-error,Jake Luer
ast-module-types,6.0.2,MIT,OK,permissive,https://github.com/dependents/node-ast-module-types,Joel Kemp
ast-v8-to-istanbul,1.0.7,MIT,OK,permissive,https://github.com/AriPerkkio/ast-v8-to-istanbul,Ari Perkkiö
asynckit,0.4.0,MIT,OK,permissive,https://github.com/alexindigo/asynckit,Alex Indigo
axios,1.20.0,MIT,OK,permissive,https://github.com/axios/axios,Matt Zabriskie
axobject-query,4.1.0,Apache-2.0,OK,permissive,https://github.com/A11yance/axobject-query,Jesse Beach
balanced-match,4.0.4,MIT,OK,permissive,https://github.com/juliangruber/balanced-match,
base64-js,1.5.1,MIT,OK,permissive,https://github.com/beatgammit/base64-js,T. Jameson Little
bidi-js,1.1.0,MIT,OK,permissive,https://github.com/lojjic/bidi-js,Jason Johnston
bl,4.1.0,MIT,OK,permissive,https://github.com/rvagg/bl,
brace-expansion,5.0.12,MIT,OK,permissive,https://github.com/juliangruber/brace-expansion,
buffer,5.7.1,MIT,OK,permissive,https://github.com/feross/buffer,Feross Aboukhadijeh
bundle-name,4.1.0,MIT,OK,permissive,https://github.com/sindresorhus/bundle-name,Sindre Sorhus
cacheable,2.5.0,MIT,OK,permissive,https://github.com/jaredwray/cacheable,Jared Wray
call-bind-apply-helpers,1.0.2,MIT,OK,permissive,https://github.com/ljharb/call-bind-apply-helpers,Jordan Harband
